id_prest_boca_atencion;d_prest_boca_atencion;id_prest_prestador;d_prest_calle;n_prest_puerta;c_prest_piso_depto;c_prest_cp4;n_prest_boca_x;n_prest_boca_y;c_geog_prest_boca_loc;d_geog_prest_boca_loc;c_geog_prest_boca_dpto;d_geog_prest_boca_dpto;c_geog_prest_boca_pcia;d_geog_prest_boca_pcia;m_prest_habilitado
11.137;UAP SCALISE ANGEL (GINECOLOGIA);5.004.751;CAXALAVILLE ;4042 ;;1.607;0,0000000000;0,0000000000;21.020.111;VILLA ADELINA;2.102;PTDO. SAN ISIDRO;2;BUENOS AIRES;S
11.138;SIGMA IMAGENES MEDICAS - CPN;3.677.598;VENEZUELA;1380;;1.095;-58,3854382857;-34,6145380816;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
11.139;UAP SENADOR BERMUDEZ (PEDIATRIA/GINECOLOGIA);5.004.751;IRIGOYEN HIPOLITO ;4601 ;;1.602;0,0000000000;0,0000000000;21.160.065;FLORIDA;2.116;PTDO. VICENTE LOPEZ;2;BUENOS AIRES;S
11.140;UAP 12 DE OCTUBRE (PEDIATRIA/GINECOLOGIA);5.004.751;JOSE MARIA PAZ;3645 ;;1.636;-58,5040524694;-34,5080228367;21.160.014;OLIVOS;2.116;PTDO. VICENTE LOPEZ;2;BUENOS AIRES;S
11.141;ALFA, MEDICO Y KINESIOLOGICA (AMBULATORIO);5.003.130;CORRIENTES, AVDA;2451;P3;1.046;-58,4012041429;-34,6045653673;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
11.142;UAP 25 DE MAYO (GINECOLOGIA);5.004.751;R  OBLIGADO ;5280 ;;1.605;0,0000000000;0,0000000000;21.160.162;CARAPACHAY;2.116;PTDO. VICENTE LOPEZ;2;BUENOS AIRES;S
11.143;BECCAR - CLINICA PRIVADA BECCAR CONSULTA ESPECIALISTAS (EN RIVADAVIA,CONSULTORIO S.R.L.);5.005.883;RIVADAVIA;1164;;1.646;-58,5556739592;-34,4406672653;21.010.360;CARUPA;2.101;PTDO. SAN FERNANDO;2;BUENOS AIRES;N
11.144;KEREKES JORGE, CONSULTORIO RADIOLOGICO ;5.005.883;PERON PTE ;3004 ;;1.644;-58,5393167959;-34,4523657143;21.010.319;VICTORIA;2.101;PTDO. SAN FERNANDO;2;BUENOS AIRES;S
11.145;CEDITRIM;61.345;BELGRANO, AVDA;2975;1°SUBSUELO;1.209;-58,4076340000;-34,6148810000;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
11.146;CEMIC - SAAVEDRA;5.003.132;GALVAN;4102;;1.431;-58,4946659195;-34,5572216092;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
11.147; CENTIR S. R. L. ;5.003.534;MONTES DE OCA ;1461;;1.270;-58,3734640408;-34,6449017143;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
11.148; CENTRO DE DIA S.R.L ;4.203.427;PASTEUR;655;;1.028;-58,3993652857;-34,6015898571;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;N
11.149; CENTRO INTEGRAL RESONANCIA ;668.719;CONDE;851;;1.426;-58,4508237143;-34,5768429388;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
11.150;CENTRO MEDICO VIDT;61.090;VIDT;1924;;1.425;-58,4146004286;-34,5894582041;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
11.151;CHARLES DR. CENTRO OFTALMOLOGICO;640.833;CORDOBA, AVDA;1866;PB;1.120;-58,3935028571;-34,5996300000;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
11.152; CIAREM;5.003.675;AVDA. BELGRANO;3565;;1.210;-58,4163078571;-34,6155385714;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
11.153;DESARROLLOS EN SALUD SA (SANATORIO COLEGIALES);61.160;CONDE;851;00;1.426;-58,4508237143;-34,5768429388;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
11.154;COLEGIALES, SANATORIO (CONSULTORIOS EXTERNOS);61.160;GARCIA TEODORO ESQ. CONDE;00;;1.428;0,0000000000;0,0000000000;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
11.155;MEDICO DE CABECERA;3.465.371;SUPREMO ENTRERRIANO ;78;;3.260;-58,2333330000;-32,4833330000;80.020.053;CONCEPCION DEL URUGUAY;8.002;DEPTO. URUGUAY;8;ENTRE RIOS;S
11.156;1;5.006.323;ARISTOBULO DEL VALE;4150;;3.001;-60,7008283878;-31,6298356531;210.090.270;SANTA FE;21.009;DEPTO. LA CAPITAL;21;SANTA FE;S
11.157;CLINICA COMAHUE - ARGENMED SISTEMAS MEDICOS;102.042;PERON EVA,AVDA (EX PASCO);4798;;1.834;-58,3425244286;-34,7524971429;20.660.271;TEMPERLEY;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
11.158;"GARCIA GONZALEZ MIRTA JOSEFINA
";5.006.324;13;4741;;1.884;-58,2101104286;-34,7616215918;21.230.011;BERAZATEGUI;2.123;PTDO. BERAZATEGUI;2;BUENOS AIRES;S
11.159;BALLETTI NORBERTO OSCAR;1.069.945;INDEPENDENCIA;351;;1.872;-58,3506650000;-34,6802177959;20.040.071;SARANDI;2.004;PTDO. AVELLANEDA;2;BUENOS AIRES;S
11.160;CAPELUTO ALBERTO;1.070.368;WEILD MARGARITA;1496;;1.824;-58,3870278163;-34,7114808571;20.580.014;LANUS;2.058;PTDO. LANUS;2;BUENOS AIRES;S
11.161;MANZANELLI ALEJO OSCAR;1.069.643;CONDARCO;1586;;1.825;-58,3538890303;-34,7289620000;20.580.081;MONTE CHINGOLO;2.058;PTDO. LANUS;2;BUENOS AIRES;S
11.162;NAKASAKI DIAZ JUAN MANUEL;1.070.220;PRINGLES;550;;1.832;0,0000000000;0,0000000000;20.660.271;TEMPERLEY;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
11.163;NOURIAN ISKOUHI;1.069.659;CORONEL LACARRA;30;PB DPTO C;1.870;0,0000000000;0,0000000000;20.040.011;AVELLANEDA;2.004;PTDO. AVELLANEDA;2;BUENOS AIRES;S
11.164;SERVER DUPUY JOSE MARIA;1.070.630;RICARDO ROJAS;1047;;1.852;-58,3874322857;-34,8248780408;20.030.023;BURZACO;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
11.165;"ESPINOZA CHAVEZ ESTER ADA
";5.006.325;BALCARCE;2069;;1.888;-58,2644745510;-34,7815719796;20.350.014;FLORENCIO VARELA;2.035;PTDO. FLORENCIO VARELA;2;BUENOS AIRES;S
11.166;VALS ENRIQUE JUAN;1.072.249;IRIGOYEN;566;;1.842;-58,4607230612;-34,8128983673;20.330.011;MONTE GRANDE;2.033;PTDO. ESTEBAN ECHEVERRIA;2;BUENOS AIRES;S
11.167;"PADRON ALEJANDRO GABRIEL
";5.006.326;1282;523;;1.881;0,0000000000;0,0000000000;20.350.073;INGENIERO ALLAN;2.035;PTDO. FLORENCIO VARELA;2;BUENOS AIRES;S
11.168;VODOLA ANGELA CARMELA;1.070.210;GASCON;213;;1.828;-58,3929740204;-34,7476308571;20.660.025;BANFIELD;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
11.169;ZANTONINI JUAN PABLO MARI;1.069.601;BELGRANO;1443;;1.838;-58,4447910000;-34,8134190000;20.330.119;LUIS GUILLON;2.033;PTDO. ESTEBAN ECHEVERRIA;2;BUENOS AIRES;S
11.170;AZCARATE MIGUEL ANGEL;1.069.607;CERRITO;1077;;1.834;-58,3911151053;-34,7646680526;20.660.271;TEMPERLEY;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
11.171; CLINICA DE LA VIDA   (DACARI SALUD) ;5.004.578;RUTA 202;650;;1.611;0,0000000000;0,0000000000;21.090.107;DON TORCUATO;2.109;PTDO. TIGRE;2;BUENOS AIRES;S
11.172;CEM SA EZEIZA (REHABILITACION CRONICA);5.002.016;PASO DE LA PATRIA;169;;1.804;-58,5194392500;-34,8542270000;21.310.030;EZEIZA;2.131;PTDO. EZEIZA;2;BUENOS AIRES;S
11.173;FAVERO ELIZABETH;5.006.327;AVENIDA SENZABELLO;354;;1.888;-58,2751797959;-34,8060962041;20.350.014;FLORENCIO VARELA;2.035;PTDO. FLORENCIO VARELA;2;BUENOS AIRES;S
11.174;INTERNACION;5.006.328;AV. ROCA (S);342;;4.200;-64,2594162449;-27,7814605714;220.070.092;SANTIAGO DEL ESTERO;22.007;DEPTO. CAPITAL;22;SANTIAGO DEL ESTERO;S
11.175;TOME GONTADT MARIA;5.002.608;DE LA CRUZ;488;;1.826;-58,4016760000;-34,7199685000;20.580.090;REMEDIOS DE ESCALADA;2.058;PTDO. LANUS;2;BUENOS AIRES;S
11.176;COCCA LUIS;5.002.536;MARIANO MORENO;6063;;1.875;-58,3174627755;-34,7021999184;20.040.275;WILDE;2.004;PTDO. AVELLANEDA;2;BUENOS AIRES;S
11.177;CENTRO DE OJOS LOMAS - PRO-VISION SRL;5.000.539;ALMIRANTE BROWN;2469;;1.832;-58,3961190000;-34,7660262500;20.660.017;LOMAS DE ZAMORA;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
11.178;"MARTINELLO NELDO FABIAN
";5.006.329;883;4307;;1.881;0,0000000000;0,0000000000;20.890.092;SAN FRANCISCO SOLANO;2.089;PTDO. QUILMES;2;BUENOS AIRES;S
11.179;SANATORIO NUESTRA SEÑORA DEL PILAR SA;851.454;AVDA GAONA;3979;;1.702;-58,5417857143;-34,6351788776;21.140.054;VILLA CIUDADELA;2.114;PTDO. TRES DE FEBRERO;2;BUENOS AIRES;S
11.180;ODONTOLOGO/A;5.005.734;14;4042;;1.884;0,0000000000;0,0000000000;21.230.011;BERAZATEGUI;2.123;PTDO. BERAZATEGUI;2;BUENOS AIRES;S
11.181;BRUZAFERRI NORA ISABEL;5.002.471;29 DE SEPTIEMBRE;2094;;1.824;-58,3900880000;-34,7091710000;20.580.014;LANUS;2.058;PTDO. LANUS;2;BUENOS AIRES;S
11.182;MUNI. DE SAN ISIDRO-( HTAL DE BOULOGNE) PROA;3.677.216; AVDA ROLON ( ESQUINA YERBAL) ;1200;;1.609;-58,5585860000;-34,5016390000;21.020.048;BOULOGNE;2.102;PTDO. SAN ISIDRO;2;BUENOS AIRES;S
11.183;CENTROMET PROA (DENTRO DEL CENTRO MÉDICO EL TALAR);866.898;HIPOLITO IRIGOYEN;2721;;1.617;0,0000000000;0,0000000000;21.090.247;EL TALAR DE PACHECO;2.109;PTDO. TIGRE;2;BUENOS AIRES;S
11.184;DE PIERRE PABLO DAVID;1.074.766;ALBERTI;65;;1.832;-58,3950572857;-34,7545923673;20.660.017;LOMAS DE ZAMORA;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
11.185;VARELA OSCAR ODONTOLOGO/A;5.005.767;PTE PERON;1505;;1.878;-58,3251018333;-34,7537608333;20.890.289;QUILMES OESTE;2.089;PTDO. QUILMES;2;BUENOS AIRES;S
11.186;IMAT S.A (PROA);5.001.764;  AVDA ROLON ;1240;;1.609;-58,5591264242;-34,5021685859;21.020.048;BOULOGNE;2.102;PTDO. SAN ISIDRO;2;BUENOS AIRES;S
11.187;ALANIS MARIEL ALEJANDRA;5.006.330;LARA;474;;1.814;-58,7589299184;-35,0570164286;20.160.010;CAÑUELAS;2.016;PTDO. CA#UELAS;2;BUENOS AIRES;S
11.188;"CLINICA MOLDES ( 53652 )
";4.206.015;MOLDES;441;;1.836;-58,4304713061;-34,7908041633;20.660.084;LLAVALLOL;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
11.189;CENTRO AMBULATORIO PASCO GEDEVIL ( 53644 );4.202.972;AV. EVA PERON  (EX PASCO);47;;1.832;-58,4331900000;-34,7658657059;20.660.271;TEMPERLEY;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
11.190;SANATORIO DE LOS OLIVOS SA (PROA);866.895;FRANCISCO BEIRO;2585;;1.636;-58,5073720000;-34,5219048571;21.160.014;OLIVOS;2.116;PTDO. VICENTE LOPEZ;2;BUENOS AIRES;S
11.191;CLINICA PRIVADA MODELO DE PACHECO SA (PROA);866.880;IRIGOYEN HIPOLITO;2270;;1.617;0,0000000000;0,0000000000;21.090.247;EL TALAR DE PACHECO;2.109;PTDO. TIGRE;2;BUENOS AIRES;S
11.192; BRANKEVICH CARLOS MARIA ;5.006.331;9 DE JULIO;1320;;1.913;0,0000000000;0,0000000000;20.680.010;MAGDALENA;2.068;PTDO. MAGDALENA;2;BUENOS AIRES;S
11.193;HOSPITAL PRIV PARA LA COMUNIDAD (PROA);867.775;FRANCISCO BEIRO;2585;;1.636;-58,5073720000;-34,5219048571;21.160.014;OLIVOS;2.116;PTDO. VICENTE LOPEZ;2;BUENOS AIRES;S
11.194;UNIDAD ODONTOLOGICA DE ALTA COMPLEJIDAD  MATIAS BERTOL;5.006.332;COLECTORA OESTE;KM 43;;1.625;0,0000000000;0,0000000000;20.320.015;ESCOBAR;2.032;PTDO. ESCOBAR;2;BUENOS AIRES;S
11.195;CAPITA ADROGUE SANATORIO DERIVA A BURZACO,SANATORIO-OFTALM;102.325;ESPORA;2352;;1.852;-58,3884104490;-34,8202376531;20.030.023;BURZACO;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;N
11.196;HERNANDEZ JOSE MARTIN;5.006.333;BASAVILBASO;389;;1.814;-58,7591576122;-35,0583192857;20.160.010;CAÑUELAS;2.016;PTDO. CA#UELAS;2;BUENOS AIRES;S
11.197;AGUIRRE MUNDANI AGUSTIN;5.002.921;RIVADAVIA ;495;;1.748;-58,9579064694;-34,6110504490;20.480.019;GENERAL RODRIGUEZ;2.048;PTDO. GENERAL RODRIGUEZ;2;BUENOS AIRES;S
11.198;BRANKEVICH CARLOS MARIA ;5.006.331;9 DE JULIO;1320;;1.913;0,0000000000;0,0000000000;20.680.010;MAGDALENA;2.068;PTDO. MAGDALENA;2;BUENOS AIRES;S
11.199;MEDICO DE CABECERA;5.006.334;17;808;;7.620;-58,2525857500;-37,8506985000;20.080.017;BALCARCE;2.008;PTDO. BALCARCE;2;BUENOS AIRES;S
11.200;ANSEAN DOMINGUEZ RAMON FRANCISCO MEDICO CABECERA;1.172.772;CALLE 60;2651;;7.630;-58,7372797143;-38,5519624286;20.790.011;NECOCHEA;2.079;PTDO. NECOCHEA;2;BUENOS AIRES;S
11.201;HTAL DE SAN ISIDRO (PROA);82.099;AVDA SANTA FE ;400;;1.640;-58,5092460000;-34,4775070000;21.020.013;SAN ISIDRO;2.102;PTDO. SAN ISIDRO;2;BUENOS AIRES;S
11.202;AREVALO INFANTE MANUEL MEDICO CABECERA;3.677.021;FALUCHO ;153;;7.172;-57,7833330000;-37,2833330000;20.710.045;GENERAL PIRAN;2.071;PTDO. MAR CHIQUITA;2;BUENOS AIRES;S
11.203;CENTRO PROTECCION SALUD;866.817;AVDA PRESIDENTE PERON;1045;;1.646;-58,5556739592;-34,4406672653;21.010.017;SAN FERNANDO;2.101;PTDO. SAN FERNANDO;2;BUENOS AIRES;N
11.204;1;5.006.335;SARMIENTO ;430;;3.042;-60,4666670000;-30,5666670000;210.160.179;MARCELINO ESCALADA;21.016;DEPTO. SAN JUSTO;21;SANTA FE;S
11.205;CENTRO DE SALUD NORTE OLIVOS;866.817;ESTEBAN ECHEVERRIA;3150;;1.636;0,0000000000;0,0000000000;21.160.014;OLIVOS;2.116;PTDO. VICENTE LOPEZ;2;BUENOS AIRES;S
11.206;CENTRO DE SALUD NORTE SOLIDEZ SA;866.817;MENDEZ GERVASIO;3968;;1.607;0,0000000000;0,0000000000;21.020.111;VILLA ADELINA;2.102;PTDO. SAN ISIDRO;2;BUENOS AIRES;S
11.207;SANATORIO SAN ANDRES SA (EX SAN AGUSTIN);865.640;PRESIDENTE PERON;3619;;1.651;-58,5420295294;-34,5719517059;20.490.201;SAN ANDRES;2.049;PTDO. GENERAL SAN MARTIN;2;BUENOS AIRES;S
11.208;SCALA JORGE MEDICO CABECERA;3.677.087;BELGRANO;50;;7.174;-57,7333330000;-37,4500000000;20.710.011;CORONEL VIDAL;2.071;PTDO. MAR CHIQUITA;2;BUENOS AIRES;S
11.209;CENTRO DE REHABILITACION Y MEDICINA ALCO ;5.002.257;MAIPU   ;1179 ;;1.646;-58,5526696531;-34,4437673469;21.010.017;SAN FERNANDO;2.101;PTDO. SAN FERNANDO;2;BUENOS AIRES;S
11.210;ANGIO SALUD SA ;864.537; HIPOLITO IRIGOYEN;1051 ;;1.702;-58,5497710000;-34,6310050000;21.140.054;VILLA CIUDADELA;2.114;PTDO. TRES DE FEBRERO;2;BUENOS AIRES;S
11.211;ARGUS DIAGNOSTICO MEDICO SA;867.059;PRESIDENTE PERON;1939;;1.663;-58,7158536122;-34,5395467143;20.500.013;SAN MIGUEL;2.050;PTDO. SAN MIGUEL;2;BUENOS AIRES;S
11.212;DRA. ARRIOLA;859.914;AVDA MARQUEZ ;2326 ;;1.653;0,0000000000;0,0000000000;20.490.163;VILLA JOSE LEON SUAREZ;2.049;PTDO. GENERAL SAN MARTIN;2;BUENOS AIRES;S
11.213;BELLINO RAUL MEDICO CABECERA;1.175.005;ALBERDI;241;;7.100;-57,6777904082;-36,3109530816;20.300.012;DOLORES;2.030;PTDO. DOLORES;2;BUENOS AIRES;S
11.214;BENITEZ MASSANES ELENA MEDICO CEBECERA;1.173.150;14 DE JULIO ;431;;7.000;-59,1386280408;-37,3302270816;21.070.015;TANDIL;2.107;PTDO. TANDIL;2;BUENOS AIRES;S
11.215;RAIMAN MARIO IGNACIO ;867.036; JOSE  INGENIEROS; 234;;1.643;-58,5296105102;-34,4629929184;21.020.030;BECCAR;2.102;PTDO. SAN ISIDRO;2;BUENOS AIRES;S
11.216;BRUM JORGE AGLIBERTO MEDICO CABECERA;1.175.003;BARTOLOME MITRE;334;;7.100;-57,6775537347;-36,3103376735;20.300.012;DOLORES;2.030;PTDO. DOLORES;2;BUENOS AIRES;S
11.217;HTAL. ZONAL MANUEL BELGRANO;3.677.228;AVDA DE LOS CONSTITUYENTES;3120;;1.650;0,0000000000;0,0000000000;20.490.015;GENERAL SAN MARTIN;2.049;PTDO. GENERAL SAN MARTIN;2;BUENOS AIRES;S
11.218;MARIA ISABEL VAZQUEZ DE ACOSTA;2.670.029;AVDA ALBERDI;S/N;;5.705;-66,1333330000;-32,6000000000;190.010.172;SAN FRANCISCO DEL MONTE DE ORO;19.001;DEPTO. AYACUCHO;19;SAN LUIS;S
11.219;AGUIRRE ELVIO NOVEL;2.670.017;SAN MARTIN;1656;;5.730;-65,4556470000;-33,6647068333;190.040.261;VILLA MERCEDES;19.004;DEPTO. GENERAL PEDERNERA;19;SAN LUIS;S
11.220;ALGRANATTI ALBERTO - DERMATOLOGO;2.640.137;C MERCAU ;474;;5.881;-65,0333330000;-32,3500000000;190.060.115;MERLO;19.006;DEPTO. JUNIN;19;SAN LUIS;S
11.221;ALTAMIRANO GUSTAVO DANIEL - ODONTOLOGO;4.100.158;MORENO;336;;5.711;-65,8000000000;-32,2333330000;190.010.164;QUINES;19.001;DEPTO. AYACUCHO;19;SAN LUIS;N
11.222;AMODEI JORGE - GASTROENTEROLOGO;2.664.926;BOLIVAR;1277;;5.700;-66,3437223333;-33,2980499167;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.223;AMPUERO VERONICA ESHER;2.670.029;MITRE;871;;5.700;-66,3400841818;-33,3013210909;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.224;ARIAS MARIA ALEJANDRA;2.670.029;AVDA ILLIA;332;;5.883;0,0000000000;0,0000000000;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.225;AVILA CRESCENCIO - DIAGNOSTICO POR IMAGEN;2.670.768;GENERAL PAZ;1516;;5.730;-65,4573561667;-33,6668798333;190.040.261;VILLA MERCEDES;19.004;DEPTO. GENERAL PEDERNERA;19;SAN LUIS;S
11.226;PUGLIESE DIEGO GABRIEL;102.301;RUTA 210;19599;;1.856;0,0000000000;0,0000000000;20.030.040;GLEW;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;N
11.227;BABELIS MARIA ISABEL - ODONTOLOGA;4.100.158;MZ 293;C 01;;5.700;0,0000000000;0,0000000000;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;N
11.228;BACIGALUPPI JORGE ANDRES;2.670.029;9 DE JULIO Y MITRE;S/N;;1.770;0,0000000000;0,0000000000;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.229;BARBIERI MARIA - ODONTOLOGA;4.100.158;SAN MARTIN;1071;;5.730;-65,4581506667;-33,6746376667;190.040.261;VILLA MERCEDES;19.004;DEPTO. GENERAL PEDERNERA;19;SAN LUIS;N
11.230;STELLA MARTINO DE BAVASTRO;2.670.029;SAN MARTIN;1342;;5.700;-66,3390321837;-33,2945240612;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.231;BECERRA LUIS ROBERTO - ODONTOLOGO;4.100.158;COMECHINGONES;19;;5.881;-65,0333330000;-32,3500000000;190.060.115;MERLO;19.006;DEPTO. JUNIN;19;SAN LUIS;N
11.232;BECHEN WILLIAMS - DIAGNOSTICO POR IMAGEN;2.664.926;AVDA ILLIA;219;;5.883;0,0000000000;0,0000000000;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.233;BELTRAMINO GERARDO JACINTO - CARDIOLOGO;2.664.926;AVDA PRESIDENTE ILLIA;219;;5.700;-66,3234067959;-33,3076300000;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.234;BENAHIN CLARA - ODONTOLOGA;4.100.158;GOB ALRIC;67;;5.730;-65,4641226667;-33,6781303333;190.040.261;VILLA MERCEDES;19.004;DEPTO. GENERAL PEDERNERA;19;SAN LUIS;N
11.235;BERTOMEU VERONICA - BERTOMEU VICENTE;2.670.017;AVENIDA MITRE;1400;;5.730;-65,4589670000;-33,6687720000;190.040.261;VILLA MERCEDES;19.004;DEPTO. GENERAL PEDERNERA;19;SAN LUIS;S
11.236;BOAGLIO MIRTA;2.670.017;9 DE JULIO;574;;5.730;-65,4597187500;-33,6831502500;190.040.261;VILLA MERCEDES;19.004;DEPTO. GENERAL PEDERNERA;19;SAN LUIS;S
11.237;BONGIOVANI ROBERTO CARLOS;2.672.523;PRINGLES;156;;5.773;-65,3000000000;-32,7333330000;190.030.124;TILISARAO;19.003;DEPTO. CHACABUCO;19;SAN LUIS;S
11.238;BONGIOVANNI RAUL RICARDO ;3.677.701;MARCONI ;147;;5.730;-65,4670095000;-33,6829237500;190.040.261;VILLA MERCEDES;19.004;DEPTO. GENERAL PEDERNERA;19;SAN LUIS;S
11.239;AMALIA B. ROSA DE CALBACHO;2.670.029;JUSTO DARACT ;1429;;5.700;-66,3353497143;-33,2929640000;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.240;CANGIALOSI CALBO CLAUDIA;2.670.029;JUNIN;436;;5.700;-66,3294396939;-33,3006536531;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.241;CARBELLI ALEJANDRO - ODONTOLOGO;4.100.158;BALCARCE;1249;;5.730;-65,4615370000;-33,6708910000;190.040.261;VILLA MERCEDES;19.004;DEPTO. GENERAL PEDERNERA;19;SAN LUIS;N
11.242;CASARTIS JUAN CARLOS - GINECOLOGO;2.640.137;AV. DE LA LUNA;S/N;;5.881;-65,0333330000;-32,3500000000;190.060.115;MERLO;19.006;DEPTO. JUNIN;19;SAN LUIS;S
11.243;CASTRO JORGE - ENDOCRINOLOGO;2.664.926;CHACABUCO;433;;5.700;-66,3369617755;-33,3069751633;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.244;1;5.006.336;TACUARI;6509;;3.001;-60,6765990000;-31,6126550000;210.090.270;SANTA FE;21.009;DEPTO. LA CAPITAL;21;SANTA FE;S
11.245;CASTRO PEDRO FLORENCIO ;2.670.029;GENERAL PAZ;750;;5.700;-66,3326381224;-33,3017753061;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.246;VIVIANA NASISI DE CATAPANO - ODONTOLOGA;4.100.158;MITRE;590;;5.700;-66,3391398776;-33,3054416327;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;N
11.247;CELI MARIA - GINECOLOGA;2.664.926;COLON;1272;;5.700;-66,3351207143;-33,2954612857;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.248;CENTORBI HUGO JOSE;2.670.029;PEDERNERA;921;;5.700;-66,3378469184;-33,3004797755;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.249;CONTRERAS CARINA - ODONTOLOGA;4.100.158;BALCARCE;940;;5.730;-65,4632000000;-33,6759971667;190.040.261;VILLA MERCEDES;19.004;DEPTO. GENERAL PEDERNERA;19;SAN LUIS;N
11.250;DECICCO ALICIA;2.675.647;AVDA CENTENARIO;S/N;;5.773;-65,3000000000;-32,7333330000;190.030.124;TILISARAO;19.003;DEPTO. CHACABUCO;19;SAN LUIS;S
11.251;DELIA RUBEN - ONCOLOGO;2.664.926;RIVADAVIA;1058;;5.700;-66,3365018571;-33,2983341429;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.252;DIGENARO ANDRES - CIRUJANO;2.664.926;PRESIDENTE PERON;666;;5.700;-66,3266390000;-33,3019608333;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.253;AMALIA GIMENEZ DE DOMENICONI ;4.100.158;AVDA ESPAÑA;1051;;5.700;-66,3416518571;-33,2936616735;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;N
11.254;ENCABO JUAN CARLOS;2.670.029;CHACABUCO;732;;5.700;-66,3383806939;-33,3028386939;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.255;FAÑANAS CRISTINA - ODONTOLOGA;4.100.158;SAN MARTIN;S/N;;5.705;-66,1333330000;-32,6000000000;190.010.172;SAN FRANCISCO DEL MONTE DE ORO;19.001;DEPTO. AYACUCHO;19;SAN LUIS;N
11.256;FARRERO CECILIA - DERMATOLOGA;2.664.926;MAIPU;434;;5.700;-66,3307339388;-33,3060019592;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
11.257;FATTORI MARCELA - ODONTOLOGA;4.100.158;CHACABUCO;625;;5.700;-66,3377092449;-33,3043715102;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;N
11.258;FELIPETTA GABRIELA;2.670.029;JUNIN;436;;5.700;-66,3294396939;-33,3006536531;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
